Token	InstrumentName	ShortName	Series	ExpiryDate	StrikePrice	OptionType	CALevel	PermittedToTrade	IssueCapital	WarningQty	FreezeQty	CreditRating	NormalMarketStatus	OddLotMarketStatus	SpotMarketStatus	AuctionMarketStatus	NormalMarketEligibility	OddLotMarketEligibility	SpotMarketEligibility	AuctionMarketEligibility	IssueRate	IssueStartDate	InterestPaymentDate	IssueMaturityDate	MarginPercentage	MinimumLotQty	LotSize	TickSize	CompanyName	ListingDate	ExpulsionDate	ReAdmissionDate	RecordDate	LowPriceRange	HighPriceRange	SecurityExpiryDate	NoDeliveryStartDate	NoDeliveryEndDate	MF	AON	ParticipantInMarketIndex	BookClsStartDate	BookClsEndDate	ExcerciseStartDate	ExcerciseEndDate	OldToken	AssetInstrument	AssetName	AssetToken	IntrinsicValue	ExtrinsicValue	ExcerciseStyle	EGM	AGM	Interest	Bonus	Rights	Dividends	ExAllowed	ExRejectionAllowed	PlAllowed	IsThisAsset	IsCorpAdjusted	LocalUpdateDatetime	DeleteFlag	Remarks	BasePrice	ExchangeCode
50144	FUTSTK	TORPHA	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				2250	0	250	10	TORRENT PHARMACEUTICALS LTD					3277.3	4005.5				2-Mon							0			0	0	0								NFO								364140	TORNTPHARM
50147	FUTSTK	TORPOW	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				40500	0	375	10	TORRENT POWER LIMITED					1198.1	1464.3				2-Mon							0			0	0	0								NFO								133120	TORNTPOWER
50148	FUTSTK	TRENT	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				214700	0	100	10	TRENT LTD					4315.5	5274.3				2-Mon							0			0	0	0								NFO								479490	TRENT
50149	FUTSTK	TVSMOT	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				83475	0	175	10	TVS MOTOR COMPANY LIMITED					3180.9	3887.7				2-Mon							0			0	0	0								NFO								353430	TVSMOTOR
50150	FUTSTK	ULTCEM	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				32200	0	50	100	ULTRATECH CEMENT LIMITED					10962	13396				2-Mon							0			0	0	0								NFO								1217900	ULTRACEMCO
50166	FUTSTK	UNIBAN	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				1902750	0	4425	1	UNION BANK OF INDIA					129.47	158.25				2-Mon							0			0	0	0								NFO								14386	UNIONBANK
50167	FUTSTK	UNISPI	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				114000	0	400	10	UNITED SPIRITS LIMITED					1271.6	1554				2-Mon							0			0	0	0								NFO								141280	UNITDSPR
50168	FUTSTK	MININD	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				68750	0	550	10	UNO Minda Limited					1106.3	1352.1				2-Mon							0			0	0	0								NFO								122920	UNOMINDA
50169	FUTSTK	UNIP	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				338750	0	1355	5	UPL LIMITED					658.85	805.25				2-Mon							0			0	0	0								NFO								73205	UPL
50170	FUTSTK	VARBEV	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				705200	0	1025	5	VARUN BEVERAGES LIMITED					441.35	539.35				2-Mon							0			0	0	0								NFO								49035	VBL
50171	FUTSTK	VEDLIM	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				1467400	0	1150	5	VEDANTA LIMITED					460.35	562.65				2-Mon							0			0	0	0								NFO								51150	VEDL
50172	FUTSTK	VOLTAS	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				357750	0	375	10	VOLTAS LTD					1216.9	1487.3				2-Mon							0			0	0	0								NFO								135210	VOLTAS
50173	FUTSTK	WIPRO	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				5862000	0	3000	1	WIPRO LTD					217.81	266.21				2-Mon							0			0	0	0								NFO								24201	WIPRO
50174	FUTSTK	TATPOW	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				75400	0	1450	5	TATA POWER CO LTD					376.2	459.8				3-Mon							0			0	0	0								NFO								41800	TATAPOWER
50175	FUTSTK	TATSTE	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				594000	0	5500	1	TATA STEEL LIMITED					168.95	206.49				3-Mon							0			0	0	0								NFO								18772	TATASTEEL
50178	FUTSTK	YESBAN	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				47303100	0	31100	1	YES BANK LIMITED					20.22	24.72				2-Mon							0			0	0	0								NFO								2247	YESBANK
50179	FUTSTK	CADHEA	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				122400	0	900	5	ZYDUS LIFESCIENCES LIMITED					896.9	1096.2				2-Mon							0			0	0	0								NFO								99655	ZYDUSLIFE
50186	FUTSTK	TATTEC	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				4000	0	800	5	TATA TECHNOLOGIES LIMITED					639.4	781.4				3-Mon							0			0	0	0								NFO								70980	TATATECH
50187	FUTSTK	TCS	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				94500	0	175	10	TATA CONSULTANCY SERVICES LTD					2770.5	3386.1				3-Mon							0			0	0	0								NFO								307830	TCS
50202	FUTSTK	TECMAH	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				6600	0	600	10	TECH MAHINDRA LIMITED					1314.8	1606.8				3-Mon							0			0	0	0								NFO								146080	TECHM
50203	FUTSTK	TUBIN	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				0	0	200	10	TUBE INVESTMENTS OF INDIA LTD					2795.1	3416.1				3-Mon							0			0	0	0								NFO								310320	TIINDIA
50228	FUTSTK	TITIND	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				21000	0	175	10	TITAN COMPANY LIMITED					3431.8	4194.4				3-Mon							0			0	0	0								NFO								381310	TITAN
50229	FUTSTK	TATMOT	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				112000	0	800	5	TATA MOTORS PAX VEHICLES LTD					377.2	461				3-Mon							0			0	0	0								NFO								41910	TMPV
50236	FUTSTK	TORPHA	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				0	0	250	10	TORRENT PHARMACEUTICALS LTD					3290.8	4022				3-Mon							0			0	0	0								NFO								365330	TORNTPHARM
50239	FUTSTK	TORPOW	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				425	0	425	10	TORRENT POWER LIMITED					1202.2	1469.2				3-Mon							0			0	0	0								NFO								133460	TORNTPOWER
50246	FUTSTK	TRENT	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				4600	0	100	10	TRENT LTD					4346	5311.6				3-Mon							0			0	0	0								NFO								482880	TRENT
50247	FUTSTK	TVSMOT	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				6475	0	175	10	TVS MOTOR COMPANY LIMITED					3189.6	3898.4				3-Mon							0			0	0	0								NFO								354100	TVSMOTOR
50260	FUTSTK	ULTCEM	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				500	0	50	100	ULTRATECH CEMENT LIMITED					11032	13482				3-Mon							0			0	0	0								NFO								1225700	ULTRACEMCO
50261	FUTSTK	UNIBAN	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				115050	0	4425	1	UNION BANK OF INDIA					130.41	159.39				3-Mon							0			0	0	0								NFO								14490	UNIONBANK
50293	FUTSTK	UNISPI	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				16400	0	400	10	UNITED SPIRITS LIMITED					1278.8	1562.8				3-Mon							0			0	0	0								NFO								142080	UNITDSPR
50294	FUTSTK	MININD	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				0	0	550	10	UNO Minda Limited					1117	1365.2				3-Mon							0			0	0	0								NFO								124010	UNOMINDA
50340	FUTSTK	UNIP	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				8130	0	1355	5	UPL LIMITED					659.25	805.75				3-Mon							0			0	0	0								NFO								73250	UPL
50341	FUTSTK	VARBEV	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				57375	0	1125	5	VARUN BEVERAGES LIMITED					443.75	542.35				3-Mon							0			0	0	0								NFO								49305	VBL
50364	FUTSTK	VEDLIM	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				164450	0	1150	5	VEDANTA LIMITED					461.65	564.15				3-Mon							0			0	0	0								NFO								51290	VEDL
