INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTIDX    ,BANKNIFTY ,25/11/2025,00058384.00,00058690.00,00058300.20,00058644.40,000000001713110,    55421082206.00,           946715,            27049,            18524
FUTIDX    ,BANKNIFTY ,30/12/2025,00058797.20,00059029.80,00058720.40,00058985.40,000000000175805,     4252374952.00,            72205,             2063,             1576
FUTIDX    ,BANKNIFTY ,27/01/2026,00059200.00,00059360.00,00059115.20,00059321.80,000000000043800,      856739868.00,            14460,              482,              376
FUTIDX    ,MIDCPNIFTY,25/11/2025,00013859.95,00013962.70,00013830.15,00013933.80,000000003591840,     9717438850.00,           699020,             4993,             4400
FUTIDX    ,MIDCPNIFTY,30/12/2025,00013931.50,00014022.80,00013897.70,00013995.70,000000000126560,      999855423.00,            71540,              511,              422
FUTIDX    ,MIDCPNIFTY,27/01/2026,00014051.65,00014073.65,00013933.05,00014052.45,000000000010200,       41964822.00,             3000,              025,              025
FUTSTK    ,AMBER     ,25/11/2025,00007110.00,00007412.00,00007050.00,00007387.00,000000001222200,     3214903950.00,           440300,             4403,             3706
FUTSTK    ,AMBER     ,30/12/2025,00006930.00,00007180.00,00006921.50,00007149.50,000000000379000,     1200005400.00,           169600,             1696,             1266
FUTSTK    ,AMBER     ,27/01/2026,00006980.50,00007050.00,00006889.00,00007036.00,000000000034800,       39033000.00,             5600,              056,              049
FUTSTK    ,DIXON     ,25/11/2025,00015344.00,00015631.00,00015267.00,00015479.00,000000001978300,     6111334850.00,           394200,             7884,             6729
FUTSTK    ,DIXON     ,30/12/2025,00015464.00,00015736.00,00015420.00,00015574.00,000000000140300,      669189200.00,            42900,              858,              804
FUTSTK    ,DIXON     ,27/01/2026,00015500.00,00015801.00,00015500.00,00015661.00,000000000015050,       58811700.00,             3750,              075,              072
FUTSTK    ,HAL       ,25/11/2025,00004770.00,00004784.00,00004714.00,00004745.60,000000008925000,     4418615040.00,           931350,             6209,             5222
FUTSTK    ,HAL       ,30/12/2025,00004809.90,00004812.20,00004745.80,00004775.60,000000000922350,      852607485.00,           178650,             1191,             1095
FUTSTK    ,HAL       ,27/01/2026,00004827.50,00004837.40,00004776.90,00004805.00,000000000121500,      100100610.00,            20850,              139,              134
FUTSTK    ,HEROMOTOCO,25/11/2025,00005552.50,00005651.00,00005480.00,00005559.00,000000005374650,    13041481500.00,          2333400,            15556,            12948
FUTSTK    ,HEROMOTOCO,30/12/2025,00005619.50,00005679.00,00005511.00,00005587.50,000000000184350,     1290859500.00,           229500,             1530,             1254
FUTSTK    ,HEROMOTOCO,27/01/2026,00005655.00,00005698.00,00005543.50,00005613.00,000000000011400,       71032050.00,            12600,              084,              080
FUTSTK    ,KEI       ,25/11/2025,00004115.00,00004132.90,00004071.10,00004123.40,000000001014475,      712120465.00,           173250,              990,              886
FUTSTK    ,KEI       ,30/12/2025,00004097.20,00004123.00,00004071.00,00004113.00,000000000058975,       75339985.00,            18375,              105,              080
FUTSTK    ,KEI       ,27/01/2026,00004115.10,00004115.10,00004115.10,00004115.10,000000000002625,         720142.50,              175,              001,              001
FUTSTK    ,MCX       ,25/11/2025,00009600.00,00009778.00,00009470.50,00009701.00,000000002618625,     6784261062.50,           702000,             5616,             4810
FUTSTK    ,MCX       ,30/12/2025,00009683.00,00009835.00,00009541.00,00009762.50,000000000120000,      992604312.50,           102125,              817,              759
FUTSTK    ,MCX       ,27/01/2026,00009699.00,00009889.00,00009611.50,00009824.50,000000000014625,      112650062.50,            11500,              092,              089
FUTSTK    ,SOLARINDS ,25/11/2025,00013803.00,00014050.00,00013758.00,00013940.00,000000000825975,     1772719125.00,           127275,             1697,             1541
FUTSTK    ,SOLARINDS ,30/12/2025,00013892.00,00014130.00,00013892.00,00014034.00,000000000047175,      295519200.00,            21075,              281,              273
FUTSTK    ,SOLARINDS ,27/01/2026,00014055.00,00014180.00,00014050.00,00014050.00,000000000011150,        6351350.00,              450,              009,              009
FUTSTK    ,TCS       ,25/11/2025,00003100.00,00003115.60,00003080.00,00003108.40,000000024725575,    10297025182.50,          3325350,            19002,            15198
