Total volume summary of Futures and Options by product type:                                        
Product        ,No of Contracts     ,Traded Value (Rs. Crs.)       
Index Futures  ,           157691,          30878.62
Stock Futures  ,          1271564,          87524.89
Index Options  ,        124057063,       24159574.33
Stock Options  ,          7846743,         567091.25
Vol Futures    ,              000,              0.00
F&O Total      ,        133333061,       24845069.09
