INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,BANKNIFTY ,25/11/2025,00054900.00,CE      ,00003601.10,00003601.10,00003601.10,00003601.10,000000000003115,              035,              001,              001,        2047538.50,         126038.50
OPTIDX    ,BANKNIFTY ,25/11/2025,00054900.00,PE      ,00000027.20,00000027.20,00000016.25,00000018.60,000000000020055,            30765,              879,              413,     1689646381.50,         647881.50
OPTIDX    ,BANKNIFTY ,25/11/2025,00055100.00,PE      ,00000028.20,00000033.45,00000018.90,00000021.90,000000000028700,            49630,             1418,              937,     2735860384.25,        1247384.25
OPTIDX    ,BANKNIFTY ,25/11/2025,00055300.00,PE      ,00000035.10,00000035.10,00000020.30,00000023.00,000000000028945,            56455,             1613,             1062,     3123456402.50,        1494902.50
OPTIDX    ,BANKNIFTY ,25/11/2025,00055500.00,CE      ,00003050.80,00003200.00,00002944.85,00003179.55,000000000085120,             1050,              030,              024,       61506009.25,        3231009.25
OPTIDX    ,BANKNIFTY ,25/11/2025,00055500.00,PE      ,00000042.05,00000043.30,00000023.45,00000025.40,000000000310380,           927990,            26514,            12385,    51531099390.75,       27654390.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00055700.00,CE      ,00002890.00,00002890.00,00002890.00,00002890.00,000000000001225,              035,              001,              001,        2050650.00,         101150.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00055700.00,PE      ,00000044.40,00000044.40,00000026.25,00000029.00,000000000053340,           113540,             3244,             1774,     6328077344.75,        3899344.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00055900.00,PE      ,00000050.30,00000052.75,00000030.50,00000033.70,000000000049350,           120715,             3449,             1965,     6752715746.00,        4747246.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00056100.00,PE      ,00000057.55,00000058.65,00000034.95,00000037.65,000000000040670,           114275,             3265,             1888,     6416254313.00,        5426813.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00056300.00,CE      ,00002280.00,00002310.90,00002270.00,00002270.00,000000000002135,              105,              003,              003,        6151631.50,         240131.50
OPTIDX    ,BANKNIFTY ,25/11/2025,00056300.00,PE      ,00000067.05,00000067.85,00000040.80,00000044.20,000000000056000,           163030,             4658,             2315,     9187211260.50,        8622260.50
OPTIDX    ,BANKNIFTY ,25/11/2025,00056500.00,CE      ,00002099.95,00002230.00,00001951.35,00002184.65,000000000078120,            37170,             1062,              710,     2175233256.00,       75128256.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00056500.00,PE      ,00000082.90,00000090.00,00000047.85,00000051.95,000000000514360,          1220590,            34874,            19792,    69040469282.75,       77134282.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00056700.00,CE      ,00001877.00,00001980.00,00001791.10,00001850.00,000000000009695,              420,              012,              012,       24610488.00,         796488.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00056700.00,PE      ,00000095.95,00000096.70,00000058.10,00000062.40,000000000088095,           325640,             9304,             6332,    18488891706.25,       25103706.25
OPTIDX    ,BANKNIFTY ,25/11/2025,00056900.00,CE      ,00001650.00,00001833.40,00001650.00,00001824.35,000000000011270,              385,              011,              010,       22582945.00,         676445.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00056900.00,PE      ,00000116.00,00000117.45,00000070.70,00000076.65,000000000261065,           286125,             8175,             5489,    16308002989.25,       27490489.25
OPTIDX    ,BANKNIFTY ,25/11/2025,00057100.00,CE      ,00001520.20,00001677.25,00001450.80,00001643.85,000000000015260,             4340,              124,              060,      254691122.00,        6877122.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00057100.00,PE      ,00000133.10,00000140.00,00000085.30,00000091.75,000000000107625,           302960,             8656,             6919,    17333289361.50,       34273361.50
OPTIDX    ,BANKNIFTY ,25/11/2025,00057300.00,CE      ,00001309.00,00001489.40,00001250.00,00001436.95,000000000020580,            10290,              294,              216,      603607116.00,       13990116.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00057300.00,PE      ,00000180.00,00000180.00,00000102.85,00000111.20,000000000139755,           546315,            15609,            12090,    31378555680.50,       74706180.50
OPTIDX    ,BANKNIFTY ,25/11/2025,00057500.00,CE      ,00001107.00,00001316.00,00001070.00,00001266.05,000000000209720,           209440,             5984,             3872,    12294819278.00,      252019278.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00057500.00,PE      ,00000202.05,00000210.20,00000126.00,00000137.55,000000000722680,          1947575,            55645,            38077,   112315521834.25,      329959334.25
OPTIDX    ,BANKNIFTY ,25/11/2025,00057700.00,CE      ,00000998.00,00001145.00,00000918.85,00001096.25,000000000063700,            97755,             2793,             1570,     5742415281.75,      101951781.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00057700.00,PE      ,00000214.05,00000253.25,00000155.05,00000168.30,000000000166180,           666750,            19050,            14823,    38609907064.75,      138432064.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00057900.00,CE      ,00000837.70,00000990.00,00000774.50,00000947.75,000000000100030,           374675,            10705,             7076,    22028952949.50,      335270449.50
OPTIDX    ,BANKNIFTY ,25/11/2025,00057900.00,PE      ,00000315.00,00000318.85,00000192.65,00000211.50,000000000193095,          1028440,            29384,            22186,    59815306146.75,      268630146.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00058100.00,CE      ,00000690.00,00000847.45,00000643.75,00000786.35,000000000105490,          1031765,            29479,            21738,    60714651628.75,      769105128.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00058100.00,PE      ,00000380.95,00000400.40,00000236.50,00000266.55,000000000193375,          2196670,            62762,            47393,   128331309216.25,      704782216.25
OPTIDX    ,BANKNIFTY ,25/11/2025,00058300.00,CE      ,00000640.40,00000710.00,00000525.35,00000652.25,000000000235795,          4457705,           127363,            89946,   262667132997.50,     2782931497.50
OPTIDX    ,BANKNIFTY ,25/11/2025,00058300.00,PE      ,00000449.00,00000469.00,00000298.00,00000332.00,000000000243425,          4771025,           136315,           101339,   280027345424.75,     1876587924.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00058500.00,CE      ,00000440.00,00000586.50,00000355.15,00000535.70,000000001933330,          8424465,           240699,           167969,   497121291766.75,     4290089266.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00058500.00,PE      ,00000577.90,00000617.95,00000367.10,00000401.15,000000001731030,          5511240,           157464,           114241,   324987797942.50,     2580257942.50
OPTIDX    ,BANKNIFTY ,25/11/2025,00058700.00,CE      ,00000300.35,00000480.00,00000300.35,00000434.90,000000000258195,          2007005,            57343,            43520,   118641227572.00,      830034072.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00058700.00,PE      ,00000590.50,00000729.95,00000457.80,00000491.40,000000000127295,          1011080,            28888,            22362,    59927398235.25,      577002235.25
OPTIDX    ,BANKNIFTY ,25/11/2025,00058900.00,CE      ,00000276.90,00000386.00,00000220.00,00000342.50,000000000132685,          1307950,            37370,            27871,    77464539309.50,      426284309.50
OPTIDX    ,BANKNIFTY ,25/11/2025,00058900.00,PE      ,00000727.15,00000785.10,00000564.40,00000602.60,000000000034650,           207445,             5927,             4916,    12359993476.25,      141482976.25
OPTIDX    ,BANKNIFTY ,25/11/2025,00059100.00,CE      ,00000241.10,00000307.70,00000204.00,00000267.45,000000000131285,           776545,            22187,            17914,    46091745343.00,      197935843.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00059100.00,PE      ,00000847.75,00000922.85,00000687.25,00000731.90,000000000026460,           111300,             3180,             1917,     6667895078.25,       90065078.25
OPTIDX    ,BANKNIFTY ,25/11/2025,00059300.00,CE      ,00000187.95,00000247.70,00000157.00,00000208.15,000000000316365,           848645,            24247,            17540,    50494280130.00,      169631630.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00059300.00,PE      ,00001000.05,00001072.40,00000823.90,00000851.05,000000000014910,            23030,              658,              474,     1387630616.75,       21951616.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00059500.00,CE      ,00000140.00,00000189.25,00000120.95,00000160.80,000000000648865,          2220820,            63452,            42198,   132481282731.00,      342492731.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00059500.00,PE      ,00001165.50,00001233.80,00000971.15,00001030.15,000000000053515,            69685,             1991,             1387,     4222810109.00,       76552609.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00059700.00,CE      ,00000109.05,00000147.25,00000092.55,00000123.20,000000000113470,           566405,            16183,            11714,    33880268105.25,       65889605.25
OPTIDX    ,BANKNIFTY ,25/11/2025,00059700.00,PE      ,00001255.10,00001395.00,00001137.00,00001163.60,000000000006335,             2765,              079,              066,      168564333.00,        3493833.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00059900.00,CE      ,00000084.20,00000114.60,00000072.40,00000094.20,000000000074830,           474635,            13561,            10140,    28474520683.00,       43884183.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00059900.00,PE      ,00001503.65,00001537.70,00001310.45,00001318.90,000000000002590,             1610,              046,              023,       98591484.25,        2152484.25
OPTIDX    ,BANKNIFTY ,25/11/2025,00060100.00,CE      ,00000066.05,00000089.50,00000056.55,00000072.65,000000000085680,           497140,            14204,             9420,    29913073254.75,       34959254.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00060300.00,CE      ,00000055.50,00000069.70,00000045.10,00000056.90,000000000067725,           205485,             5871,             3924,    12402240600.75,       11495100.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00060500.00,CE      ,00000041.15,00000055.35,00000036.25,00000044.90,000000000552545,           965020,            27572,            15875,    58426306795.50,       42596795.50
OPTIDX    ,BANKNIFTY ,25/11/2025,00060500.00,PE      ,00002080.00,00002142.95,00001926.10,00002042.60,000000000004410,             2940,              084,              065,      183849554.00,        5979554.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00060700.00,CE      ,00000034.00,00000044.65,00000030.40,00000035.85,000000000043015,           159775,             4565,             2526,     9704009915.25,        5667415.25
OPTIDX    ,BANKNIFTY ,25/11/2025,00060900.00,CE      ,00000032.85,00000036.90,00000025.40,00000029.60,000000000028140,           101605,             2903,             2080,     6190814887.25,        3070387.25
