Index Futures                                                                                       
Symbol    ,No of Contracts Traded   ,Traded Quantity  ,Total Traded Value (Rs. In Crs.)   ,Open interest (Qty.) as at end of trading hrs.    
BANKNIFTY ,            29594,          1033380,           6053.02,000000001932715
FINNIFTY  ,              252,            16380,             45.05,000000000041340
MIDCPNIFTY,             5529,           773560,           1075.93,000000003728600
NIFTYNXT50,              379,             9475,             66.31,000000000021825
NIFTY     ,           121937,          9116635,          23638.31,000000020474740
