Index Options                                                                                       
Symbol    ,No of Contracts Traded   ,Traded Quantity  ,Total Traded Value (Rs. In Crs.)   ,Open interest (Qty.) as at end of trading hrs.    
BANKNIFTY ,          1458569,         51045900,         300183.26,000000013979585
BANKNIFTY ,          1729048,         60506630,         355393.76,000000021218680
FINNIFTY  ,             6468,           420420,           1161.53,000000000172380
FINNIFTY  ,             6620,           430300,           1186.59,000000000158990
FINNIFTY  ,             8466,           550290,           1509.45,000000000202020
FINNIFTY  ,             4015,           260975,            719.91,000000000186485
FINNIFTY  ,             6216,           404040,           1119.92,000000000171990
FINNIFTY  ,             4223,           274495,            755.38,000000000150865
FINNIFTY  ,             2959,           192335,            528.59,000000000184145
MIDCPNIFTY,            15237,          2133180,           2980.64,000000000462560
MIDCPNIFTY,            38392,          5374880,           7521.90,000000001429540
MIDCPNIFTY,            16596,          2323440,           3246.33,000000000495320
MIDCPNIFTY,           236895,         33165300,          46260.71,000000016373280
NIFTYNXT50,              070,             1750,             12.42,000000000001550
NIFTYNXT50,              108,             2700,             19.24,000000000006000
NIFTYNXT50,              196,             4900,             34.53,000000000002550
NIFTY     ,         17325806,       1299384750,        3367743.92,000000074070490
NIFTY     ,         14694058,       1101990000,        2860825.90,000000088590350
NIFTY     ,         16416103,       1231136595,        3197712.65,000000086150965
NIFTY     ,         15385070,       1153828450,        2988047.86,000000077788915
NIFTY     ,         16641903,       1248099205,        3234155.43,000000073627445
NIFTY     ,         21900802,       1642496790,        4262062.67,000000076280055
NIFTY     ,         18158770,       1361857800,        3526307.63,000000075679950
NIFTYNXT50,              473,            11825,             84.08,000000000007950
