The top 20 option contracts on individual securities traded are as under:                           
S No      ,Symbol    ,Exp Date  ,Str Price  ,Opt Type  ,No of Cont       ,Notional Value (Rs.)     
1         ,MUTHOOTFIN,25/11/2025,00003800.00,CE      ,            47529,    50266023363.00
2         ,MUTHOOTFIN,25/11/2025,00003700.00,CE      ,            43672,    45522966033.00
3         ,BDL       ,25/11/2025,00001600.00,CE      ,            26222,    14025726634.00
4         ,ASIANPAINT,25/11/2025,00002900.00,CE      ,            24703,    18139854350.00
5         ,HEROMOTOCO,25/11/2025,00005600.00,CE      ,            24273,    20722431075.00
6         ,INFY      ,25/11/2025,00001500.00,PE      ,            23913,    14547394840.00
7         ,INFY      ,25/11/2025,00001500.00,CE      ,            23436,    14294760880.00
8         ,ADANIENT  ,25/11/2025,00002500.00,CE      ,            23184,    17869926570.00
9         ,RELIANCE  ,25/11/2025,00001520.00,CE      ,            23023,    17667592775.00
10        ,VOLTAS    ,25/11/2025,00001360.00,CE      ,            22855,    11836285200.00
11        ,ADANIENT  ,25/11/2025,00002600.00,CE      ,            22300,    17602022145.00
12        ,MUTHOOTFIN,25/11/2025,00003700.00,PE      ,            21410,    22204595229.00
13        ,JUBLFOOD  ,25/11/2025,00000620.00,CE      ,            20343,    16072972188.00
14        ,LT        ,25/11/2025,00004000.00,CE      ,            19834,    14043161064.00
15        ,INFY      ,25/11/2025,00001540.00,CE      ,            19481,    12090085220.00
16        ,INFY      ,25/11/2025,00001520.00,CE      ,            19384,    11920600740.00
17        ,BDL       ,25/11/2025,00001620.00,CE      ,            19318,    10397756444.00
18        ,VOLTAS    ,25/11/2025,00001300.00,PE      ,            19066,     9419400956.00
19        ,SBIN      ,25/11/2025,00000960.00,CE      ,            18995,    13873121963.00
20        ,BSE       ,25/11/2025,00002800.00,CE      ,            18784,    20293256381.00
The top twenty contracts contributed to around   6% of the total traded volume in Options on individual securities.MUTHOOTFIN was the most active option contracts on individual securities traded today with 268680 contracts and INFY was the next most active options contracts with 219175 contracts being traded.                                                                                                                                                                                              
