"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"13-Nov-2025","25-Nov-2025","XX","-","183.50","183.50","175.34","176.84","176.80","176.84","16,49,01,000","29,60,02,36,930.00","29,60,02,36,930.00","22,76,83,500","1,16,71,000"
"12-Nov-2025","25-Nov-2025","XX","-","182.30","182.62","178.80","179.42","179.55","179.42","3,23,18,000","5,82,78,91,520.00","5,82,78,91,520.00","21,60,12,500","53,79,000"
"11-Nov-2025","25-Nov-2025","XX","-","182.75","183.10","179.52","181.86","181.97","181.86","3,18,28,500","5,76,70,01,900.00","5,76,70,01,900.00","21,06,33,500","9,79,000"
"10-Nov-2025","25-Nov-2025","XX","-","182.31","182.82","180.90","181.92","181.92","181.92","2,45,52,000","4,46,62,40,295.00","4,46,62,40,295.00","20,96,54,500","4,78,500"
"07-Nov-2025","25-Nov-2025","XX","-","178.27","183.04","175.86","181.89","181.90","181.89","4,20,64,000","7,56,62,80,370.00","7,56,62,80,370.00","20,91,76,000","8,36,000"
"06-Nov-2025","25-Nov-2025","XX","-","180.18","181.58","177.44","178.18","178.27","178.18","3,09,37,500","5,53,38,23,625.00","5,53,38,23,625.00","20,83,40,000","39,76,500"
