"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"13-Nov-2025","25-Nov-2025","XX","-","2,840.00","2,895.90","2,840.00","2,875.70","2,873.90","2,875.70","83,25,750","23,90,88,58,325.00","23,90,88,58,325.00","1,28,45,250","-8,51,750"
"12-Nov-2025","25-Nov-2025","XX","-","2,662.90","2,840.00","2,643.10","2,769.40","2,839.00","2,769.40","92,91,250","25,52,38,37,875.00","25,52,38,37,875.00","1,36,97,000","8,21,000"
"11-Nov-2025","25-Nov-2025","XX","-","2,658.10","2,668.20","2,632.60","2,658.00","2,662.90","2,658.00","17,49,750","4,63,62,83,800.00","4,63,62,83,800.00","1,28,76,000","42,000"
"10-Nov-2025","25-Nov-2025","XX","-","2,618.10","2,673.70","2,618.10","2,654.60","2,657.90","2,654.60","21,82,500","5,79,64,33,700.00","5,79,64,33,700.00","1,28,34,000","3,68,000"
"07-Nov-2025","25-Nov-2025","XX","-","2,597.70","2,616.40","2,583.30","2,613.60","2,611.10","2,613.60","14,98,000","3,89,41,77,675.00","3,89,41,77,675.00","1,24,66,000","-1,57,000"
"06-Nov-2025","25-Nov-2025","XX","-","2,550.00","2,631.00","2,547.20","2,600.30","2,600.90","2,600.30","48,32,750","12,58,76,32,550.00","12,58,76,32,550.00","1,26,23,000","-2,47,750"
