"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"13-Nov-2025","25-Nov-2025","XX","-","1,520.10","1,524.50","1,510.00","1,513.20","1,514.60","1,513.20","94,02,000","14,26,14,40,100.00","14,26,14,40,100.00","10,16,92,000","-18,45,500"
"12-Nov-2025","25-Nov-2025","XX","-","1,503.60","1,527.30","1,503.60","1,517.70","1,517.50","1,517.70","1,36,30,000","20,70,01,35,450.00","20,70,01,35,450.00","10,35,37,500","-23,55,000"
"11-Nov-2025","25-Nov-2025","XX","-","1,498.30","1,503.40","1,486.00","1,500.50","1,500.90","1,500.50","83,11,500","12,42,64,30,850.00","12,42,64,30,850.00","10,58,92,500","-4,82,500"
"10-Nov-2025","25-Nov-2025","XX","-","1,485.90","1,504.10","1,480.40","1,496.70","1,497.70","1,496.70","76,92,500","11,52,27,73,500.00","11,52,27,73,500.00","10,63,75,000","93,500"
"07-Nov-2025","25-Nov-2025","XX","-","1,497.20","1,501.60","1,481.50","1,484.60","1,485.90","1,484.60","94,68,000","14,11,80,21,100.00","14,11,80,21,100.00","10,62,81,500","-9,58,000"
"06-Nov-2025","25-Nov-2025","XX","-","1,481.30","1,506.70","1,478.90","1,499.40","1,497.70","1,499.40","1,53,54,000","23,00,47,88,600.00","23,00,47,88,600.00","10,72,39,500","-21,63,000"
