"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"13-Nov-2025","25-Nov-2025","XX","-","866.65","893.80","861.05","864.95","865.20","864.95","1,81,51,700","15,90,59,26,365.00","15,90,59,26,365.00","4,26,96,500","-36,00,100"
"12-Nov-2025","25-Nov-2025","XX","-","830.55","877.40","829.35","865.90","863.80","865.90","2,03,98,000","17,46,98,97,970.00","17,46,98,97,970.00","4,62,96,600","-28,94,500"
"11-Nov-2025","25-Nov-2025","XX","-","798.70","831.80","794.20","828.95","831.70","828.95","1,73,35,500","14,24,13,16,320.00","14,24,13,16,320.00","4,91,91,100","-10,37,400"
"10-Nov-2025","25-Nov-2025","XX","-","798.00","811.00","797.90","801.05","798.90","801.05","60,71,800","4,87,85,77,445.00","4,87,85,77,445.00","5,02,28,500","-1,97,400"
"07-Nov-2025","25-Nov-2025","XX","-","787.95","804.05","781.40","798.80","798.45","798.80","52,45,100","4,16,98,05,780.00","4,16,98,05,780.00","5,04,25,900","-5,22,900"
"06-Nov-2025","25-Nov-2025","XX","-","792.00","799.95","780.90","790.30","790.00","790.30","67,70,400","5,34,52,12,845.00","5,34,52,12,845.00","5,09,48,800","7,01,400"
