"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"13-Nov-2025","25-Nov-2025","XX","-","106.53","112.20","104.30","109.49","111.81","109.49","12,37,38,000","13,40,62,76,883.00","13,40,62,76,883.00","18,13,63,500","1,67,95,650"
"12-Nov-2025","25-Nov-2025","XX","-","106.50","107.34","105.02","106.41","106.43","106.41","3,28,47,150","3,48,56,05,426.50","3,48,56,05,426.50","16,45,67,850","65,06,700"
"11-Nov-2025","25-Nov-2025","XX","-","103.25","106.50","101.46","106.11","106.21","106.11","5,07,68,250","5,28,70,04,448.00","5,28,70,04,448.00","15,80,61,150","13,28,400"
"10-Nov-2025","25-Nov-2025","XX","-","104.28","104.57","102.66","102.90","102.76","102.90","1,62,23,700","1,68,03,30,429.00","1,68,03,30,429.00","15,67,32,750","25,09,200"
"07-Nov-2025","25-Nov-2025","XX","-","104.44","104.99","102.56","104.28","104.43","104.28","1,55,53,350","1,61,47,20,753.00","1,61,47,20,753.00","15,42,23,550","-11,50,050"
"06-Nov-2025","25-Nov-2025","XX","-","103.55","105.63","102.59","104.29","104.43","104.29","1,72,63,050","1,80,15,23,190.00","1,80,15,23,190.00","15,53,73,600","-24,90,750"
