"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"13-Nov-2025","25-Nov-2025","XX","-","1,361.00","1,392.70","1,361.00","1,387.80","1,388.60","1,387.80","2,71,29,900","37,58,91,00,010.00","37,58,91,00,010.00","10,71,14,000","-80,41,600"
"12-Nov-2025","25-Nov-2025","XX","-","1,370.00","1,370.00","1,360.60","1,362.90","1,361.60","1,362.90","1,00,38,700","13,69,85,83,990.00","13,69,85,83,990.00","11,51,55,600","-17,13,600"
"11-Nov-2025","25-Nov-2025","XX","-","1,354.50","1,363.50","1,349.50","1,361.60","1,362.00","1,361.60","87,11,500","11,82,82,04,780.00","11,82,82,04,780.00","11,68,69,200","-15,60,300"
"10-Nov-2025","25-Nov-2025","XX","-","1,345.50","1,353.60","1,344.60","1,353.00","1,352.30","1,353.00","74,70,400","10,09,04,65,700.00","10,09,04,65,700.00","11,84,29,500","-4,57,100"
"07-Nov-2025","25-Nov-2025","XX","-","1,327.00","1,348.70","1,325.10","1,347.10","1,346.70","1,347.10","1,22,51,400","16,43,64,52,060.00","16,43,64,52,060.00","11,88,86,600","-14,58,100"
"06-Nov-2025","25-Nov-2025","XX","-","1,338.80","1,349.30","1,324.40","1,327.70","1,327.70","1,327.70","1,93,36,800","25,75,48,26,230.00","25,75,48,26,230.00","12,03,44,700","33,29,200"
