"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"13-Nov-2025","25-Nov-2025","XX","-","988.00","993.30","987.00","988.75","987.30","988.75","1,43,85,800","14,24,16,29,380.00","14,24,16,29,380.00","20,24,37,400","-36,86,100"
"12-Nov-2025","25-Nov-2025","XX","-","1,000.75","1,002.30","992.60","994.45","995.05","994.45","1,12,97,000","11,26,50,03,860.00","11,26,50,03,860.00","20,61,23,500","-17,17,650"
"11-Nov-2025","25-Nov-2025","XX","-","989.05","996.00","982.35","994.80","995.30","994.80","95,17,750","9,41,98,47,937.50","9,41,98,47,937.50","20,78,41,150","-12,88,100"
"10-Nov-2025","25-Nov-2025","XX","-","989.85","998.00","985.60","989.60","989.50","989.60","1,14,24,050","11,31,82,04,370.00","11,31,82,04,370.00","20,91,29,250","13,82,150"
"07-Nov-2025","25-Nov-2025","XX","-","985.05","989.90","979.55","987.45","988.05","987.45","1,36,20,750","13,41,78,80,327.50","13,41,78,80,327.50","20,77,47,100","31,54,250"
"06-Nov-2025","25-Nov-2025","XX","-","984.95","994.85","979.35","989.80","991.95","989.80","1,56,70,050","15,49,13,10,697.50","15,49,13,10,697.50","20,45,92,850","16,68,700"
