"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"13-Nov-2025","25-Nov-2025","XX","-","524.95","538.00","524.95","531.65","531.20","531.65","1,93,76,350","10,33,45,37,387.50","10,33,45,37,387.50","10,83,92,100","9,93,600"
"12-Nov-2025","25-Nov-2025","XX","-","525.60","529.85","519.35","522.85","523.60","522.85","1,14,72,400","6,00,50,22,850.00","6,00,50,22,850.00","10,73,98,500","-8,08,450"
"11-Nov-2025","25-Nov-2025","XX","-","523.70","526.70","516.80","525.30","525.55","525.30","98,60,100","5,14,95,29,685.00","5,14,95,29,685.00","10,82,06,950","-1,93,200"
"10-Nov-2025","25-Nov-2025","XX","-","523.45","528.80","520.00","522.15","522.50","522.15","1,31,89,350","6,91,53,03,280.00","6,91,53,03,280.00","10,84,00,150","3,24,300"
"07-Nov-2025","25-Nov-2025","XX","-","503.90","519.75","499.80","517.50","518.05","517.50","1,36,72,350","6,99,00,08,775.00","6,99,00,08,775.00","10,80,75,850","16,88,200"
"06-Nov-2025","25-Nov-2025","XX","-","507.95","516.00","505.10","507.55","508.00","507.55","87,05,500","4,43,67,26,852.50","4,43,67,26,852.50","10,63,87,650","15,16,850"
