"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"13-Nov-2025","25-Nov-2025","XX","-","1,535.40","1,538.20","1,512.40","1,524.40","1,521.40","1,524.40","1,35,57,600","20,71,15,73,400.00","20,71,15,73,400.00","5,71,99,200","-35,51,600"
"12-Nov-2025","25-Nov-2025","XX","-","1,521.50","1,540.00","1,519.90","1,533.40","1,530.60","1,533.40","1,27,00,000","19,46,77,89,960.00","19,46,77,89,960.00","6,07,50,800","-5,42,000"
"11-Nov-2025","25-Nov-2025","XX","-","1,508.00","1,514.60","1,493.30","1,512.30","1,513.00","1,512.30","99,70,800","15,01,84,06,960.00","15,01,84,06,960.00","6,12,92,800","-7,47,600"
"10-Nov-2025","25-Nov-2025","XX","-","1,475.00","1,503.00","1,472.50","1,498.10","1,499.00","1,498.10","90,94,800","13,57,87,94,800.00","13,57,87,94,800.00","6,20,40,400","-6,99,600"
"07-Nov-2025","25-Nov-2025","XX","-","1,454.80","1,466.40","1,435.00","1,460.30","1,460.80","1,460.30","92,36,400","13,41,41,04,760.00","13,41,41,04,760.00","6,27,40,000","9,32,000"
"06-Nov-2025","25-Nov-2025","XX","-","1,464.00","1,471.80","1,453.40","1,455.50","1,456.90","1,455.50","70,03,200","10,23,33,86,000.00","10,23,33,86,000.00","6,18,08,000","10,20,800"
