"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"13-Nov-2025","25-Nov-2025","XX","-","309.20","310.70","297.95","299.10","298.50","299.10","4,69,26,175","14,18,99,72,617.50","14,18,99,72,617.50","28,61,37,875","1,58,76,475"
"12-Nov-2025","25-Nov-2025","XX","-","308.00","314.45","308.00","310.20","309.90","310.20","3,39,93,650","10,59,75,42,697.50","10,59,75,42,697.50","27,02,61,400","15,68,975"
"11-Nov-2025","25-Nov-2025","XX","-","302.95","309.15","301.85","307.35","307.60","307.35","2,94,75,875","9,02,15,39,926.25","9,02,15,39,926.25","26,86,92,425","57,52,100"
"10-Nov-2025","25-Nov-2025","XX","-","306.35","309.25","302.35","303.00","303.10","303.00","1,78,06,775","5,42,79,86,867.50","5,42,79,86,867.50","26,29,40,325","51,04,625"
"07-Nov-2025","25-Nov-2025","XX","-","305.40","310.55","302.50","307.00","306.35","307.00","2,59,06,275","7,96,05,92,968.75","7,96,05,92,968.75","25,78,35,700","-39,43,050"
"06-Nov-2025","25-Nov-2025","XX","-","312.50","313.40","305.20","307.25","307.10","307.25","3,33,29,200","10,28,28,04,130.00","10,28,28,04,130.00","26,17,78,750","71,99,825"
