INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTSTK    ,HINDPETRO ,27/01/2026,00000490.80,00000498.00,00000490.80,00000493.05,000000000224775,       43949486.25,            89100,              044,              043
FUTSTK    ,HINDUNILVR,25/11/2025,00002433.00,00002442.00,00002423.60,00002427.20,000000017659200,     2712183240.00,          1115700,             3719,             3359
FUTSTK    ,HINDUNILVR,30/12/2025,00002446.00,00002454.90,00002436.50,00002440.40,000000001533600,     1034474400.00,           423300,             1411,             1217
FUTSTK    ,HINDUNILVR,27/01/2026,00002449.00,00002455.00,00002438.10,00002440.60,000000000200400,      139285560.00,            57000,              190,              183
FUTSTK    ,HINDZINC  ,25/11/2025,00000487.00,00000488.65,00000481.90,00000484.20,000000035892500,     1787123712.50,          3690925,             3013,             2720
FUTSTK    ,HINDZINC  ,30/12/2025,00000490.05,00000491.60,00000485.25,00000487.30,000000005519850,      703758763.75,          1444275,             1179,             1082
FUTSTK    ,HINDZINC  ,27/01/2026,00000491.00,00000493.80,00000488.30,00000490.35,000000000235200,       44442387.50,            90650,              074,              064
FUTSTK    ,HUDCO     ,25/11/2025,00000227.56,00000241.01,00000227.49,00000239.09,000000031199325,     4438069737.75,         18853350,             6794,             5617
FUTSTK    ,HUDCO     ,30/12/2025,00000229.15,00000242.43,00000229.14,00000240.37,000000002802750,      913921885.50,          3865575,             1393,             1225
FUTSTK    ,HUDCO     ,27/01/2026,00000233.00,00000243.84,00000233.00,00000241.81,000000000280275,       72891591.00,           305250,              110,              102
FUTSTK    ,DABUR     ,25/11/2025,00000529.95,00000530.85,00000523.80,00000524.50,000000024191250,     1720610687.50,          3266250,             2613,             2367
FUTSTK    ,DABUR     ,30/12/2025,00000534.25,00000534.30,00000527.50,00000527.95,000000000727500,      184900687.50,           348750,              279,              222
FUTSTK    ,DABUR     ,27/01/2026,00000536.05,00000537.20,00000531.25,00000531.35,000000000111250,       24717625.00,            46250,              037,              035
FUTSTK    ,DALBHARAT ,25/11/2025,00002041.10,00002045.00,00002017.20,00002020.80,000000002355925,      369216347.50,           182000,              560,              527
FUTSTK    ,DALBHARAT ,30/12/2025,00002046.20,00002056.40,00002030.00,00002031.70,000000000199550,      124560572.50,            61100,              188,              157
FUTSTK    ,DALBHARAT ,27/01/2026,00002054.00,00002054.00,00002053.80,00002053.80,000000000006500,        2002520.00,              975,              003,              003
FUTSTK    ,DELHIVERY ,25/11/2025,00000438.05,00000443.55,00000437.00,00000440.85,000000019451050,     1403465260.00,          3180975,             1533,             1407
FUTSTK    ,DELHIVERY ,30/12/2025,00000441.20,00000446.35,00000440.00,00000443.65,000000000927525,      161282383.75,           363125,              175,              168
FUTSTK    ,DELHIVERY ,27/01/2026,00000445.50,00000447.45,00000445.50,00000446.80,000000000130725,        4635550.00,            10375,              005,              005
FUTSTK    ,DIVISLAB  ,25/11/2025,00006530.50,00006569.00,00006450.00,00006536.00,000000003217100,     1276684850.00,           195400,             1954,             1701
FUTSTK    ,DIVISLAB  ,30/12/2025,00006581.50,00006606.00,00006543.00,00006580.00,000000000128200,      221003800.00,            33600,              336,              301
FUTSTK    ,DIVISLAB  ,27/01/2026,00006590.00,00006636.00,00006590.00,00006631.50,000000000017800,        9926100.00,             1500,              015,              015
FUTSTK    ,DLF       ,25/11/2025,00000770.80,00000775.50,00000766.60,00000770.75,000000036433650,     2202735150.00,          2856975,             3463,             2874
FUTSTK    ,DLF       ,30/12/2025,00000773.50,00000780.35,00000771.60,00000775.90,000000001716000,      565153380.00,           728475,              883,              823
FUTSTK    ,DLF       ,27/01/2026,00000782.10,00000785.00,00000777.90,00000780.60,000000000185625,       34818753.75,            44550,              054,              044
FUTSTK    ,DMART     ,25/11/2025,00004050.20,00004091.80,00004045.00,00004047.70,000000005782350,     1412496615.00,           348300,             2322,             1829
FUTSTK    ,DMART     ,30/12/2025,00004061.50,00004080.00,00004032.00,00004034.70,000000000667350,      614923560.00,           152100,             1014,              590
FUTSTK    ,DMART     ,27/01/2026,00004091.00,00004091.00,00004048.00,00004050.00,000000000043050,       25563735.00,             6300,              042,              038
FUTSTK    ,DRREDDY   ,25/11/2025,00001250.70,00001250.80,00001240.40,00001242.00,000000014448750,     2110558375.00,          1696250,             2714,             2256
FUTSTK    ,DRREDDY   ,30/12/2025,00001257.00,00001257.00,00001243.10,00001244.80,000000001252500,      598991500.00,           480625,              769,              412
FUTSTK    ,DRREDDY   ,27/01/2026,00001250.20,00001253.90,00001246.00,00001246.40,000000000113125,       16378750.00,            13125,              021,              021
FUTSTK    ,PAGEIND   ,25/11/2025,00039860.00,00040275.00,00039280.00,00039380.00,000000000234840,     1566641100.00,            39450,             2630,             2348
FUTSTK    ,PAGEIND   ,30/12/2025,00039200.00,00039900.00,00038920.00,00039010.00,000000000027105,      584857875.00,            14880,              992,              853
FUTSTK    ,PAGEIND   ,27/01/2026,00039595.00,00039825.00,00038900.00,00038935.00,000000000002595,       31215600.00,              795,              053,              049
FUTSTK    ,PATANJALI ,25/11/2025,00000588.35,00000591.40,00000586.75,00000588.45,000000032763600,     1687887225.00,          2864700,             3183,             2232
FUTSTK    ,PATANJALI ,30/12/2025,00000592.95,00000595.00,00000589.45,00000591.45,000000001069200,     1040871600.00,          1757700,             1953,              841
FUTSTK    ,PATANJALI ,27/01/2026,00000593.65,00000596.10,00000593.65,00000596.10,000000000031500,        1070775.00,             1800,              002,              002
FUTSTK    ,PAYTM     ,25/11/2025,00001303.00,00001333.70,00001303.00,00001330.40,000000019096500,     4747478132.50,          3585125,             4945,             4306
FUTSTK    ,PAYTM     ,30/12/2025,00001303.60,00001338.00,00001303.60,00001334.90,000000000867100,      743430732.50,           559700,              772,              662
FUTSTK    ,PAYTM     ,27/01/2026,00001310.00,00001343.20,00001310.00,00001337.50,000000000065975,       39644305.00,            29725,              041,              040
FUTSTK    ,PERSISTENT,25/11/2025,00006122.50,00006139.50,00006074.50,00006127.00,000000002302800,     1975281700.00,           323100,             3231,             2929
FUTSTK    ,PERSISTENT,30/12/2025,00006133.50,00006177.00,00006125.00,00006166.00,000000000090500,      152000300.00,            24700,              247,              214
FUTSTK    ,PERSISTENT,27/01/2026,00006181.50,00006203.00,00006172.50,00006192.50,000000000010500,        3711750.00,              600,              006,              006
FUTSTK    ,PETRONET  ,25/11/2025,00000275.05,00000277.45,00000272.90,00000277.00,000000042715800,      948615480.00,          3439800,             1911,             1715
FUTSTK    ,PETRONET  ,30/12/2025,00000277.80,00000279.05,00000274.85,00000278.80,000000001116000,      245171790.00,           883800,              491,              431
FUTSTK    ,PETRONET  ,27/01/2026,00000277.85,00000280.65,00000277.00,00000280.30,000000000142500,       23858300.00,            85500,              045,              045
FUTSTK    ,PFC       ,25/11/2025,00000376.50,00000381.25,00000376.50,00000377.75,000000057223400,     2127181225.00,          5614700,             4319,             3341
FUTSTK    ,PFC       ,30/12/2025,00000375.50,00000380.00,00000374.70,00000376.45,000000016138200,     1051463985.00,          2784600,             2142,             1701
FUTSTK    ,PFC       ,27/01/2026,00000377.70,00000382.00,00000377.70,00000379.15,000000001045200,       54317445.00,           143000,              110,              108
FUTSTK    ,PGEL      ,25/11/2025,00000581.40,00000588.90,00000562.10,00000582.55,000000009398900,     2329955005.00,          4034800,             5764,             4951
FUTSTK    ,PGEL      ,30/12/2025,00000585.85,00000592.40,00000565.80,00000585.80,000000000727300,      285097120.00,           491400,              702,              655
FUTSTK    ,PGEL      ,27/01/2026,00000580.00,00000593.90,00000571.40,00000588.90,000000000058900,       16715012.50,            28500,              030,              029
FUTSTK    ,PHOENIXLTD,25/11/2025,00001733.10,00001752.20,00001725.90,00001746.10,000000003562650,      414245020.00,           237650,              679,              628
FUTSTK    ,PHOENIXLTD,30/12/2025,00001751.00,00001763.00,00001738.90,00001755.70,000000000066150,       69428170.00,            39550,              113,              068
FUTSTK    ,PHOENIXLTD,27/01/2026,00001772.50,00001772.50,00001770.00,00001770.00,000000000005250,        1239875.00,              700,              002,              002
FUTSTK    ,PIDILITIND,25/11/2025,00001468.60,00001486.00,00001449.80,00001476.80,000000007990000,     1745150950.00,          1183000,             2366,             2040
FUTSTK    ,PIDILITIND,30/12/2025,00001470.00,00001495.50,00001461.40,00001485.80,000000000319500,      550072100.00,           370500,              741,              726
FUTSTK    ,PIDILITIND,27/01/2026,00001475.00,00001503.00,00001475.00,00001496.00,000000000023000,       14203250.00,             9500,              019,              019
FUTSTK    ,PIIND     ,25/11/2025,00003491.00,00003579.30,00003491.00,00003545.70,000000002523150,      690834882.50,           194600,             1112,             1032
FUTSTK    ,PIIND     ,30/12/2025,00003567.20,00003590.00,00003544.50,00003559.50,000000000178150,      169595002.50,            47600,              272,              246
FUTSTK    ,PIIND     ,27/01/2026,00003590.00,00003594.10,00003566.00,00003576.20,000000000011550,        5640810.00,             1575,              009,              008
FUTSTK    ,PNB       ,25/11/2025,00000122.80,00000125.24,00000122.45,00000123.38,000000209976000,     5206444320.00,         41944000,             5243,             4637
FUTSTK    ,PNB       ,30/12/2025,00000123.43,00000126.08,00000123.24,00000124.18,000000020520000,     1612165280.00,         12896000,             1612,             1474
FUTSTK    ,PNB       ,27/01/2026,00000124.72,00000126.75,00000124.72,00000125.00,000000002512000,      116669680.00,           928000,              116,              106
FUTSTK    ,PNBHOUSING,25/11/2025,00000918.50,00000924.50,00000914.05,00000919.60,000000015507050,      627892200.00,           683150,             1051,              938
FUTSTK    ,PNBHOUSING,30/12/2025,00000925.25,00000930.55,00000920.00,00000925.50,000000000421850,      117924007.50,           127400,              196,              186
FUTSTK    ,PNBHOUSING,27/01/2026,00000933.00,00000935.35,00000930.00,00000930.00,000000000041600,        8476552.50,             9100,              014,              009
FUTSTK    ,POLICYBZR ,25/11/2025,00001756.80,00001823.90,00001727.00,00001818.90,000000008643600,     4745584095.00,          2668050,             7623,             6961
FUTSTK    ,POLICYBZR ,30/12/2025,00001743.60,00001834.10,00001736.20,00001829.60,000000000376950,      728209195.00,           404250,             1155,             1010
FUTSTK    ,POLICYBZR ,27/01/2026,00001752.10,00001842.00,00001752.10,00001840.20,000000000012250,       24729740.00,            13650,              039,              037
FUTSTK    ,POLYCAB   ,25/11/2025,00007674.00,00007730.00,00007603.00,00007704.00,000000001429625,     1626512625.00,           211750,             1694,             1613
FUTSTK    ,POLYCAB   ,30/12/2025,00007703.50,00007775.00,00007650.50,00007755.00,000000000057000,      226991125.00,            29375,              235,              224
FUTSTK    ,POLYCAB   ,27/01/2026,00007762.00,00007816.00,00007723.00,00007816.00,000000000005500,       15540437.50,             2000,              016,              015
FUTSTK    ,POWERGRID ,25/11/2025,00000273.15,00000274.25,00000271.05,00000273.70,000000081219300,     1718293120.00,          6289000,             3310,             2885
FUTSTK    ,POWERGRID ,30/12/2025,00000275.85,00000276.00,00000272.85,00000275.50,000000007544900,      546476100.00,          1989300,             1047,              802
FUTSTK    ,POWERGRID ,27/01/2026,00000274.80,00000277.25,00000274.80,00000276.85,000000001060200,       20485040.00,            74100,              039,              036
FUTSTK    ,POWERINDIA,25/11/2025,00021496.00,00021809.00,00021445.00,00021533.00,000000000154750,      696084350.00,            32200,              644,              604
FUTSTK    ,POWERINDIA,30/12/2025,00021587.00,00021914.00,00021587.00,00021615.00,000000000013750,      113994450.00,             5250,              105,              100
FUTSTK    ,POWERINDIA,27/01/2026,00021806.00,00021850.00,00021681.00,00021681.00,000000000001650,        6538850.00,              300,              006,              006
FUTSTK    ,PPLPHARMA ,25/11/2025,00000196.42,00000197.80,00000193.10,00000195.93,000000019127500,      506421400.00,          2587500,             1035,              892
FUTSTK    ,PPLPHARMA ,30/12/2025,00000196.19,00000198.30,00000194.00,00000196.70,000000002512500,      126136475.00,           642500,              257,              228
FUTSTK    ,PPLPHARMA ,27/01/2026,00000196.46,00000197.75,00000196.46,00000197.74,000000000357000,        2589693.75,            13125,              005,              005
FUTSTK    ,PRESTIGE  ,25/11/2025,00001748.40,00001779.50,00001741.90,00001755.10,000000003836250,      989359065.00,           562500,             1250,             1170
FUTSTK    ,PRESTIGE  ,30/12/2025,00001778.50,00001782.10,00001755.00,00001767.80,000000000090000,       90859815.00,            51300,              114,              102
FUTSTK    ,VBL       ,25/11/2025,00000459.75,00000464.50,00000459.75,00000462.10,000000038340125,     1278064402.50,          2763400,             2696,             2511
FUTSTK    ,VBL       ,30/12/2025,00000463.95,00000467.65,00000463.05,00000465.25,000000002972500,      612811266.25,          1316100,             1284,             1180
FUTSTK    ,VBL       ,27/01/2026,00000467.35,00000470.00,00000466.80,00000468.65,000000000462375,       18973687.50,            40500,              036,              035
FUTSTK    ,VEDL      ,25/11/2025,00000524.95,00000527.45,00000520.00,00000521.80,000000105051350,     4691882527.50,          8981500,             7810,             6488
FUTSTK    ,VEDL      ,30/12/2025,00000529.85,00000529.85,00000523.30,00000525.05,000000007488800,     2510100802.50,          4780550,             4157,             3492
FUTSTK    ,VEDL      ,27/01/2026,00000530.45,00000531.30,00000525.25,00000526.55,000000000507150,       70493850.00,           133400,              116,              104
