Index Futures                                                                                       
Symbol    ,No of Contracts Traded   ,Traded Quantity  ,Total Traded Value (Rs. In Crs.)   ,Open interest (Qty.) as at end of trading hrs.    
BANKNIFTY ,            27860,           969850,           5727.31,000000002019270
FINNIFTY  ,              276,            17940,             49.62,000000000040040
MIDCPNIFTY,             4299,           601000,            842.55,000000003733000
NIFTYNXT50,              243,             6075,             42.72,000000000022175
NIFTY     ,            64342,          4809330,          12538.11,000000020397910
