The top 10 futures contracts on individual securities traded are as under:                          
S No      ,Symbol    ,Exp Date  ,Traded Value (Rs.)  ,No of Contracts  
1         ,TMPV      ,25/11/2025,    12323488280.00,            41381
2         ,GLENMARK  ,25/11/2025,    21087714675.00,            29929
3         ,HDFCBANK  ,25/11/2025,    15872077568.00,            29016
4         ,INFY      ,25/11/2025,    11096934920.00,            18437
5         ,HEROMOTOCO,25/11/2025,    15134926200.00,            17541
6         ,TMPV      ,30/12/2025,     4558674080.00,            15219
7         ,SIEMENS   ,25/11/2025,     5906566100.00,            14751
8         ,RELIANCE  ,25/11/2025,    10728282600.00,            14117
9         ,ADANIENT  ,25/11/2025,    10100214340.00,            13310
10        ,KOTAKBANK ,25/11/2025,    10826173680.00,            12848
The top ten contracts contributed to around  14% of the total traded volume in Futures on individual securities.TMPV was the most active future contracts on individual securities traded today with 58122 contracts and GLENMARK was the next most active futures contracts with 36184 contracts being traded.                                                                                                                                                                                                     
