INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,BANKNIFTY ,25/11/2025,00046500.00,PE      ,00000002.75,00000003.90,00000002.70,00000002.80,000000000066010,            22855,              653,              193,     1062827704.75,          70204.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00047500.00,PE      ,00000003.85,00000005.25,00000003.50,00000004.05,000000000020475,             4865,              139,              071,      231108235.75,          20735.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00048500.00,CE      ,00010450.00,00010450.00,00010450.00,00010450.00,000000000000700,              035,              001,              001,        2063250.00,         365750.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00048500.00,PE      ,00000004.10,00000007.25,00000003.00,00000004.30,000000000005985,            21455,              613,              191,     1040662470.75,          94970.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00048700.00,PE      ,00000004.00,00000006.00,00000002.50,00000004.35,000000000000490,             5250,              150,              068,      255698227.75,          23227.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00048900.00,PE      ,00000003.40,00000005.00,00000003.40,00000004.25,000000000000280,             1400,              040,              034,       68466175.75,           6175.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00049100.00,PE      ,00000003.50,00000008.80,00000003.50,00000004.35,000000000002730,             4900,              140,              054,      240614349.50,          24349.50
OPTIDX    ,BANKNIFTY ,25/11/2025,00049300.00,PE      ,00000003.60,00000007.90,00000002.85,00000004.40,000000000001890,             4725,              135,              039,      232963969.00,          21469.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00049500.00,PE      ,00000005.45,00000006.70,00000004.00,00000004.95,000000000016030,            16730,              478,              195,      828222139.50,          87139.50
OPTIDX    ,BANKNIFTY ,25/11/2025,00049700.00,PE      ,00000003.85,00000008.95,00000002.90,00000004.50,000000000002835,            12565,              359,              080,      624540924.00,          60424.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00049900.00,PE      ,00000005.25,00000006.25,00000004.35,00000005.05,000000000000210,              665,              019,              012,       33187063.00,           3563.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00050100.00,PE      ,00000004.15,00000008.00,00000004.15,00000006.20,000000000000665,             2100,              060,              033,      105222911.50,          12911.50
OPTIDX    ,BANKNIFTY ,25/11/2025,00050300.00,PE      ,00000004.30,00000007.00,00000004.25,00000005.80,000000000000630,             2660,              076,              033,      133812652.75,          14652.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00050500.00,CE      ,00008500.00,00008500.00,00008500.00,00008500.00,000000000001015,              035,              001,              001,        2065000.00,         297500.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00050500.00,PE      ,00000004.50,00000007.75,00000004.15,00000005.75,000000000012250,            18865,              539,              201,      952795917.50,         113417.50
OPTIDX    ,BANKNIFTY ,25/11/2025,00050900.00,PE      ,00000004.85,00000004.85,00000004.85,00000004.85,000000000000315,              280,              008,              001,       14253358.00,           1358.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00051300.00,PE      ,00000005.30,00000009.00,00000005.10,00000005.70,000000000000805,             4620,              132,              040,      237036103.50,          30103.50
OPTIDX    ,BANKNIFTY ,25/11/2025,00051500.00,PE      ,00000004.55,00000008.80,00000004.55,00000006.40,000000000017115,            27195,              777,              369,     1400719787.25,         177287.25
OPTIDX    ,BANKNIFTY ,25/11/2025,00051700.00,PE      ,00000005.80,00000013.40,00000005.80,00000008.80,000000000005705,            12215,              349,              076,      631621298.00,         105798.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00051900.00,PE      ,00000006.15,00000011.00,00000005.05,00000006.20,000000000000770,             4130,              118,              058,      214377957.50,          30957.50
OPTIDX    ,BANKNIFTY ,25/11/2025,00052100.00,CE      ,00006825.10,00006825.10,00006825.10,00006825.10,000000000000805,              070,              002,              001,        4124757.00,         477757.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00052100.00,PE      ,00000006.50,00000010.95,00000006.25,00000007.15,000000000001680,             1960,              056,              026,      102130378.00,          14378.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00052300.00,PE      ,00000006.85,00000009.00,00000005.40,00000005.95,000000000002135,             2975,              085,              046,      155613095.75,          20595.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00052500.00,CE      ,00006586.00,00006586.00,00006586.00,00006586.00,000000000000980,              035,              001,              001,        2068010.00,         230510.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00052500.00,PE      ,00000007.25,00000007.95,00000004.65,00000006.60,000000000045255,            30520,              872,              463,     1602515439.00,         215439.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00052700.00,PE      ,00000011.95,00000012.50,00000006.10,00000006.80,000000000001820,             5110,              146,              056,      269337486.25,          40486.25
OPTIDX    ,BANKNIFTY ,25/11/2025,00052900.00,PE      ,00000007.65,00000008.60,00000006.65,00000007.20,000000000001260,             1330,              038,              022,       70366955.75,           9955.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00053100.00,PE      ,00000007.35,00000009.50,00000006.35,00000007.25,000000000006265,            16975,              485,              172,      901503214.50,         130714.50
