""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Nov 13, 2025"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,182923,86004,2918992,332776,2148790,2018049,2099259,2279910,2450335,951843,1522109,1208401,10670932,7528460
DII,87514,37594,207957,4661903,2381,39127,0,0,1697,13273,191258,419,351949,4891174
FII,24542,184489,3642001,2317666,448538,615249,433371,395362,110601,146407,152612,104239,4987338,3587739
Pro,48432,35324,877252,333857,744600,950395,811678,947547,985873,1046193,1682527,844657,4652744,4655590
TOTAL,343411,343411,7646202,7646202,3344308,3622820,3344308,3622820,3548506,2157716,3548506,2157716,20662963,20662963
