""Participant wise Trading Volume (no. of contracts) in Equity Derivatives as on Nov 13, 2025"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,60826,67718,412006,438266,11426096,9906263,11360163,9956279,1819349,658388,1767873,663554,24282928,24253853
DII,526,528,91270,67435,0,20450,0,0,751,0,7677,0,112997,75640
FII,12251,9958,319914,306656,2474623,2981730,2474682,2939951,319855,170149,323774,172350,6278522,6227371
Pro,38854,34253,525884,536717,16592218,14634668,16658092,14646881,3352987,1777214,3393618,1769847,36921825,37039408
TOTAL,112457,112457,1349074,1349074,30492937,27543111,30492937,27543111,5492942,2605751,5492942,2605751,67596272,67596272
