""Participant wise Open Interest (no. of contracts) in Equity Derivatives as on Nov 14, 2025"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,192042,85993,2946772,333607,2775008,2265318,2816933,2689526,2551717,973170,1563584,1242368,11704027,8732011
DII,91529,37524,208766,4674539,2381,24427,0,0,1697,13273,197044,439,342073,4909546
FII,24415,194034,3637417,2320732,573126,701210,552924,434520,112276,150914,160030,109146,5199358,3771386
Pro,48971,39406,895576,359653,1066791,1101323,1047449,968231,1009839,1073019,1754871,858423,5195519,5028033
TOTAL,356957,356957,7688531,7688531,4417306,4092277,4417306,4092277,3675529,2210376,3675529,2210376,22440976,22440976
