""Participant wise Trading Volume (no. of contracts) in Equity Derivatives as on Nov 14, 2025"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,86787,77657,405645,378696,24176476,22099990,24267931,22262337,1668634,671455,1608727,684095,49108987,49279443
DII,4384,299,68241,80068,0,3400,0,18100,0,0,5786,20,76025,104273
FII,13121,22793,281623,289273,4937504,4980730,4932469,4933927,301477,170941,307220,171341,10685396,10657023
Pro,53399,56942,516055,523527,35706755,32152208,35620335,32021964,3211146,1823090,3259524,1810030,73462653,73292322
TOTAL,157691,157691,1271564,1271564,64820735,59236328,64820735,59236328,5181257,2665486,5181257,2665486,133333061,133333061
