""Participant wise Trading Volume (no. of contracts) in Equity Derivatives as on Nov 17, 2025"",,,,,,,,,,,,,,
Client Type,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short       ,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts      ,Total Short Contracts
Client,54457,54578,398826,373131,23310270,20950390,23307317,20810354,1770350,646663,1755999,621430,47130956,46922809
DII,415,740,97752,99535,0,0,0,0,0,355,9574,0,98522,109849
FII,13164,12830,258874,277948,3638039,4239728,3626806,4275456,295732,148829,296455,150391,8594366,8639886
Pro,28984,28872,473733,478571,32543413,33021125,32557599,33125433,3226256,1579125,3230310,1603151,70872636,71023936
TOTAL,97020,97020,1229185,1229185,59491722,58211243,59491722,58211243,5292338,2374972,5292338,2374972,126696480,126696480
